@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute light-1 numeric
@attribute outputs-1 numeric

@data
1,'2021/06/23 13:15:17:549',1,15.531511,0
2,'2021/06/23 13:15:17:606',1,15.425209,0
3,'2021/06/23 13:15:17:673',1,15.340167,0
4,'2021/06/23 13:15:17:728',1,15.272134,0
5,'2021/06/23 13:15:17:786',1,15.217707,0
6,'2021/06/23 13:15:17:913',1,15.174166,0
7,'2021/06/23 13:15:17:913',1,15.139333,0
8,'2021/06/23 13:15:17:966',1,15.111466,0
9,'2021/06/23 13:15:18:052',1,15.089173,0
10,'2021/06/23 13:15:18:085',1,15.071339,0
11,'2021/06/23 13:15:18:148',1,15.057071,0
12,'2021/06/23 13:15:18:207',1,15.045656,0
13,'2021/06/23 13:15:18:271',1,15.036525,0
14,'2021/06/23 13:15:18:330',1,15.02922,0
15,'2021/06/23 13:15:18:386',1,15.023376,0
16,'2021/06/23 13:15:18:446',1,15.018701,0
17,'2021/06/23 13:15:18:509',1,15.01496,0
18,'2021/06/23 13:15:18:569',1,15.011969,0
19,'2021/06/23 13:15:18:626',1,15.009575,0
20,'2021/06/23 13:15:18:686',1,15.00766,0
21,'2021/06/23 13:15:18:748',1,15.006128,0
22,'2021/06/23 13:15:18:808',1,15.004903,0
23,'2021/06/23 13:15:18:866',1,15.003922,0
24,'2021/06/23 13:15:18:925',1,15.003138,0
25,'2021/06/23 13:15:18:987',1,14.80251,0
26,'2021/06/23 13:15:19:046',1,14.642008,0
27,'2021/06/23 13:15:19:107',1,14.513606,0
28,'2021/06/23 13:15:19:167',1,14.410885,0
29,'2021/06/23 13:15:19:226',1,14.328708,0
30,'2021/06/23 13:15:19:285',1,14.262966,0
31,'2021/06/23 13:15:19:346',1,14.210373,0
32,'2021/06/23 13:15:19:406',1,14.168299,0
33,'2021/06/23 13:15:19:468',1,14.134639,0
34,'2021/06/23 13:15:19:526',1,14.107711,0
35,'2021/06/23 13:15:19:589',1,14.086168,0
36,'2021/06/23 13:15:19:648',1,14.068934,0
37,'2021/06/23 13:15:19:730',1,14.055147,0
38,'2021/06/23 13:15:19:780',1,14.044118,0
39,'2021/06/23 13:15:19:874',1,14.035295,0
40,'2021/06/23 13:15:19:888',1,14.028235,0
41,'2021/06/23 13:15:19:965',1,14.022589,0
42,'2021/06/23 13:15:20:006',1,14.018071,0
43,'2021/06/23 13:15:20:087',1,14.014457,0
44,'2021/06/23 13:15:20:129',1,14.011565,0
45,'2021/06/23 13:15:20:203',1,14.009253,0
46,'2021/06/23 13:15:20:249',1,14.007402,0
47,'2021/06/23 13:15:20:323',1,14.005922,0
48,'2021/06/23 13:15:20:367',1,14.004738,0
49,'2021/06/23 13:15:20:426',1,14.00379,0
50,'2021/06/23 13:15:20:488',1,14.003032,0
51,'2021/06/23 13:15:20:548',1,14.002425,0
52,'2021/06/23 13:15:20:606',1,14.00194,0
53,'2021/06/23 13:15:20:666',1,14.001552,0
54,'2021/06/23 13:15:20:727',1,14.001242,0
55,'2021/06/23 13:15:20:786',1,14.000994,0
56,'2021/06/23 13:15:20:847',1,14.000795,0
57,'2021/06/23 13:15:20:906',1,14.000636,0
58,'2021/06/23 13:15:20:966',1,14.000509,0.01
59,'2021/06/23 13:15:21:049',1,14.400408,0.02
60,'2021/06/23 13:15:21:086',1,14.720326,0.03
61,'2021/06/23 13:15:21:148',1,15.576262,0.03
62,'2021/06/23 13:15:21:206',1,16.261009,0.03
63,'2021/06/23 13:15:21:266',1,17.808807,0.03
64,'2021/06/23 13:15:21:326',1,19.047047,0.03
65,'2021/06/23 13:15:21:386',1,21.237637,0.03
