@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute landmarks-1 numeric
@attribute landmarks-2 numeric
@attribute landmarks-3 numeric
@attribute landmarks-4 numeric
@attribute landmarks-5 numeric
@attribute landmarks-6 numeric
@attribute landmarks-7 numeric
@attribute landmarks-8 numeric
@attribute landmarks-9 numeric
@attribute landmarks-10 numeric
@attribute landmarks-11 numeric
@attribute landmarks-12 numeric
@attribute landmarks-13 numeric
@attribute landmarks-14 numeric
@attribute landmarks-15 numeric
@attribute landmarks-16 numeric
@attribute landmarks-17 numeric
@attribute landmarks-18 numeric
@attribute landmarks-19 numeric
@attribute landmarks-20 numeric
@attribute landmarks-21 numeric
@attribute landmarks-22 numeric
@attribute landmarks-23 numeric
@attribute landmarks-24 numeric
@attribute landmarks-25 numeric
@attribute landmarks-26 numeric
@attribute landmarks-27 numeric
@attribute landmarks-28 numeric
@attribute landmarks-29 numeric
@attribute landmarks-30 numeric
@attribute landmarks-31 numeric
@attribute landmarks-32 numeric
@attribute landmarks-33 numeric
@attribute landmarks-34 numeric
@attribute landmarks-35 numeric
@attribute landmarks-36 numeric
@attribute landmarks-37 numeric
@attribute landmarks-38 numeric
@attribute landmarks-39 numeric
@attribute landmarks-40 numeric
@attribute landmarks-41 numeric
@attribute landmarks-42 numeric
@attribute landmarks-43 numeric
@attribute landmarks-44 numeric
@attribute landmarks-45 numeric
@attribute landmarks-46 numeric
@attribute landmarks-47 numeric
@attribute landmarks-48 numeric
@attribute landmarks-49 numeric
@attribute landmarks-50 numeric
@attribute landmarks-51 numeric
@attribute landmarks-52 numeric
@attribute landmarks-53 numeric
@attribute landmarks-54 numeric
@attribute landmarks-55 numeric
@attribute landmarks-56 numeric
@attribute landmarks-57 numeric
@attribute landmarks-58 numeric
@attribute landmarks-59 numeric
@attribute landmarks-60 numeric
@attribute landmarks-61 numeric
@attribute landmarks-62 numeric
@attribute landmarks-63 numeric
@attribute outputs-1 numeric

@data
1,'2021/06/23 12:55:25:635',1,597.388733,388.469055,0.000511,525.01886,372.720276,-15.037474,462.58371,319.019501,-24.418959,456.279205,250.757919,-33.580872,503.444733,210.290298,-38.166176,514.811157,227.67392,-1.656136,497.632538,182.789902,-28.414585,501.42041,237.481125,-33.78511,509.703644,278.081879,-24.002275,558.691589,225.766464,-2.464246,544.829285,187.122452,-33.644722,547.656433,266.058228,-38.230499,555.406555,301.005005,-29.217674,603.720093,231.188263,-7.540336,591.123413,203.849213,-35.381607,588.373291,277.210571,-38.466915,595.355835,306.03186,-30.58556,648.97052,242.311005,-13.761709,635.875854,218.477386,-30.747288,623.981567,267.049652,-31.456192,624.515869,294.925812,-25.134014,0
2,'2021/06/23 12:55:25:654',1,599.16156,386.357147,0.000571,526.512451,370.675018,-15.211844,464.573273,316.688385,-24.75075,458.269287,246.999756,-34.210091,505.741943,204.909576,-39.166759,516.281433,227.276062,-0.304655,499.787537,181.500015,-26.148087,503.095673,236.252869,-31.32123,510.743073,277.266235,-21.42131,559.946716,225.231644,-1.078538,546.699341,185.555801,-31.486797,549.752686,264.302612,-36.30341,557.336975,300.104645,-27.372894,604.909363,229.952209,-6.139451,593.662292,200.982819,-33.58614,590.918457,273.829742,-37.251518,596.556885,304.193542,-29.943865,650.178162,239.741211,-12.322248,639.929932,214.277512,-28.510487,628.985596,260.972595,-29.365055,628.192322,289.465851,-23.483042,0
3,'2021/06/23 12:55:26:193',1,600.904175,386.806458,0.000663,528.153137,373.305542,-15.68931,463.039795,320.469818,-25.200544,456.815887,250.334839,-34.273922,510.132751,208.674942,-37.932705,514.754578,228.663925,-1.097952,495.993134,183.895157,-28.18169,503.500122,240.918259,-32.356686,514.388855,280.018005,-20.945541,558.375732,225.878006,-1.585463,544.395508,185.961334,-32.781677,550.239502,265.847534,-36.034512,558.72113,298.89798,-25.719574,603.365784,229.976044,-6.518414,591.679138,200.254959,-34.951481,591.326477,275.105194,-37.45359,598.818848,303.1604,-28.964863,648.968689,239.080948,-12.669527,637.125061,213.485931,-29.695679,627.242493,262.950684,-30.022484,628.184998,290.924377,-23.489571,0
4,'2021/06/23 12:55:26:199',1,596.657837,387.55191,0.000553,524.959778,371.452911,-14.54034,462.911163,317.884521,-23.472206,457.634003,249.371017,-32.180595,507.721771,209.347916,-36.163212,517.141113,228.122421,-0.616414,499.50885,182.685516,-26.76716,503.383087,238.634842,-31.685986,511.948334,279.223572,-21.49247,560.15918,226.480133,-1.337931,545.576721,187.005859,-31.569721,548.012817,265.857605,-35.860275,555.921631,300.312134,-26.646868,604.310669,231.780762,-6.255653,591.746582,202.43985,-33.711601,588.467529,275.703125,-36.845627,595.357727,304.934174,-28.954033,648.836426,242.422104,-12.238998,636.318481,216.32872,-28.790071,624.113708,264.228485,-29.479961,624.163269,292.643646,-23.262871,0
5,'2021/06/23 12:55:26:567',1,597.14209,387.5383,0.000446,524.861938,371.554932,-13.717334,463.555939,317.929718,-22.252048,456.978912,249.793854,-30.73921,501.902405,209.134552,-35.014671,514.887878,228.417908,0.167454,496.554688,184.10173,-25.348476,500.099762,237.488647,-31.09824,508.498566,277.002319,-22.279369,557.899414,226.39827,-0.811325,542.165161,188.642426,-30.515322,545.484558,266.174988,-35.12265,554.322449,300.311768,-26.448231,602.021301,231.639496,-5.90563,587.51123,204.74202,-32.445225,585.794067,276.795532,-35.226513,593.969971,304.938324,-27.339157,646.60199,242.457916,-12.044613,631.543274,219.313385,-28.258602,620.13031,267.320374,-28.654922,621.616333,294.549255,-22.220932,0
6,'2021/06/23 12:55:26:575',1,597.743958,387.737183,0.000255,524.89386,372.312378,-13.493644,463.71875,319.094177,-22.196341,456.19339,250.729477,-30.864305,498.888306,209.180069,-35.470642,514.258362,230.126465,0.208966,495.621643,184.892868,-24.590874,497.537872,236.756592,-31.012218,504.993591,275.679504,-23.415503,556.896179,227.674011,-0.821859,540.708557,188.971436,-30.041828,543.822327,266.571136,-35.55328,553.029419,301.951324,-27.823803,600.836365,232.153214,-5.792338,586.53186,204.500122,-31.362291,585.063904,276.139557,-34.614635,592.89032,305.134705,-27.312943,645.563049,242.045288,-11.788996,630.929932,219.424652,-27.461544,620.279846,267.207001,-28.153862,621.724731,294.319031,-22.095539,0
7,'2021/06/23 12:55:26:900',1,597.247986,387.459564,0.0004,524.543335,371.534729,-13.126329,464.231384,317.977905,-21.804764,456.053497,250.468246,-30.572975,496.188507,209.748657,-35.644127,515.559021,230.102798,0.315885,497.160553,184.362579,-23.787945,497.63327,234.863388,-30.43088,504.033173,273.964233,-23.457212,558.377441,227.530823,-0.900161,542.019653,188.739899,-29.954418,544.385925,266.071533,-36.059105,553.537903,302.651917,-28.942539,602.385071,231.991882,-5.965224,587.746582,204.284866,-31.263041,585.247375,275.452576,-34.885094,592.585388,305.683746,-28.033211,647.11084,241.959473,-12.016071,632.534424,218.756241,-27.423897,621.131409,265.7453,-28.324169,621.912048,293.678253,-22.62232,0
8,'2021/06/23 12:55:26:904',1,598.014343,386.302246,0.00027,525.312195,371.886475,-13.295241,463.844238,319.528076,-21.990141,454.434601,251.810944,-30.679478,495.756775,210.734589,-35.536346,514.777466,231.682755,0.110123,494.930756,185.84407,-24.369205,496.964996,238.664505,-31.23361,505.252686,278.509888,-24.300146,557.141235,228.871918,-0.851314,540.575928,188.69075,-29.594784,544.200623,266.141418,-35.868229,553.666626,302.28894,-28.936825,600.790222,232.638184,-5.615065,586.262329,203.21405,-30.616323,585.500671,274.421967,-34.400337,593.412781,304.160278,-27.634951,645.274841,241.230759,-11.363213,630.923828,217.765305,-26.841629,620.861755,265.080383,-27.826431,622.122009,292.542328,-22.116541,0
9,'2021/06/23 12:55:27:253',1,597.728149,386.214233,0.000266,525.308228,372.110321,-13.43232,463.852478,319.879974,-21.93671,454.212982,252.337372,-30.332542,495.476898,210.837112,-34.827164,515.242249,232.27951,-0.277658,494.942383,186.471954,-24.895483,498.213104,240.247131,-31.629261,507.535431,280.042816,-24.476391,557.537842,229.670578,-0.997904,541.154358,189.026459,-29.612875,544.930237,266.240448,-35.826103,554.136169,301.831329,-28.908369,600.978333,233.519287,-5.504122,586.827271,202.937073,-30.637167,585.940002,274.351074,-34.573914,593.833252,304.236694,-27.874626,645.334412,242.168488,-10.973536,631.349121,217.437653,-26.642231,621.051392,264.787628,-27.839008,622.132446,292.679504,-22.293461,0.01
10,'2021/06/23 12:55:27:261',1,598.307739,382.199677,0.000405,524.586792,369.119263,-12.971466,463.025299,317.363342,-21.926291,451.398712,248.230469,-31.274967,488.500641,201.148499,-37.605099,507.120453,225.959564,3.568412,483.020996,183.23851,-22.274071,486.182617,238.679886,-32.797688,499.481201,281.005493,-28.69014,548.363953,222.0383,1.914734,529.144531,180.138,-27.643171,535.268738,258.890106,-37.170734,549.859375,296.525787,-32.246059,592.61853,223.209442,-3.779338,574.121216,192.861969,-29.188971,577.132751,266.068298,-34.07909,589.100891,296.288086,-27.525442,638.853943,229.18129,-10.481827,619.864258,206.932373,-26.641649,612.91394,255.749878,-27.651306,617.944214,282.846436,-21.442019,0.01
